date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:07	60044/60044	---M-Z	200	added ('OK')	text/javascript	etag:%221596732224%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	C:/My%20Web%20Sites/micropopsoslo/stackpath.bootstrapcdn.com/bootstrap/4.5.2/js/bootstrap.min.js	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:08	25055/25055	---M-Z	200	added ('OK')	text/css	etag:%2261df-5b376ac02b164-gzip%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bb74a5eb_v.css	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bb74a5eb_v.css	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:08	3044/3044	---M-Z	200	added ('OK')	application/javascript	etag:%22be4-5b376abf34fd6-gzip%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bb713507_v.js	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bb713507_v.js	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:08	7208/7208	---M-Z	200	added ('OK')	text/css	etag:%225eb03e6a-1c28%22	https://cdnjs.cloudflare.com/ajax/libs/froala-editor/2.8.5/css/froala_style.min.css	C:/My%20Web%20Sites/micropopsoslo/cdnjs.cloudflare.com/ajax/libs/froala-editor/2.8.5/css/froala_style.min.css	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:09	0/0	---M--	200	added ('OK')	text/css	etag:%220-5b376abeecb92%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bb63ccd2_v.css	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bb63ccd2_v.css	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:09	75/75	---M-Z	200	added ('OK')	text/css	etag:%224b-5b376ac8dac05-gzip%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bc497791_v.css	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/5f205bc497791_v.css	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:10	291/291	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Nov%202020%2017:26:08%20GMT	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/alertms.mp3	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/alertms.mp3	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:10	2004/2004	---M--	200	added ('OK')	image/jpeg	etag:%227d4-5b376acca289d%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/microsoft.jpg	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/microsoft.jpg	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:11	291/291	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Nov%202020%2017:26:09%20GMT	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/warning.mp3	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/warning.mp3	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
09:26:11	1192/1192	---M--	200	added ('OK')	image/png	etag:%224a8-5b376aca56a3b%22	https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/cut.png	C:/My%20Web%20Sites/micropopsoslo/ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/cut.png	(from https://ewufybefyebwufubfvyuwevewv.cf/028newokifgsiufgdsgfinsdinvgisdgvsgvisgvivnidgvdsiungvsnewk/ch-new2-iwegfugwfwufwuf/)
